label,R_mean,G_mean,B_mean,R_std,G_std,B_std,Aspect_Ratio,Area,Perimeter,Homogeneity,Contrast
nail,0.0670537044239458,0.0530828560731369,0.0579781976349298,0.1797035015393671,0.148901662592808,0.14165582792964,0.1116279069767441,0.0414123581336696,0.1849522763299539,0.7973417479360022,0.02253730059216
screw,0.0540362838642555,0.0700755424458528,0.0757891233414576,0.166680255745552,0.2350441163483323,0.2305721751024076,0.0719576719576719,0.0802522068095838,0.1905324385961951,0.8630317022013282,0.0858679309177107
screw,0.033781216058351,0.0309873803376971,0.0312139244359402,0.1405188119874327,0.1365836610158993,0.1269621926791011,0.0250489236790606,0.0401513240857503,0.1547734166157153,0.9153003442484408,0.1262037872616944
nail,0.1376968804535011,0.150215940583544,0.216174716451562,0.2442236617483258,0.2869754919668133,0.3875892242469483,0.0668571428571428,0.1271122320302648,0.2836079632390011,0.4808571414008306,0.1178055481827916
screw,0.0906200098066615,0.0856901142746403,0.0891263491241031,0.2673524641995232,0.2712536638764204,0.2564469362807048,0.1126984126984127,0.0959394703656998,0.1526700844678084,0.8749780905820456,0.0697687921582266
screw,0.0463782352794331,0.042880401183954,0.0451101693139208,0.1908860797969628,0.187127645415994,0.1791256461533347,0.0470162748643761,0.0336948297604035,0.2167988549353471,0.8732042046295881,0.1731235115915101
screw,0.0203238133514973,0.0182110961998377,0.0191838237453131,0.0588984776321275,0.0561754222529718,0.0538217727156506,0.0571428571428571,0.0001513240857503,0.0049974363542144,0.9171439178411166,0.1311365629089977
nail,0.1146824354645251,0.103848370049706,0.1048438288602429,0.298536044655418,0.2933935539686668,0.271855827820162,0.1216931216931217,0.0858007566204287,0.2421549977751482,0.7752299382009372,0.0596016510923385
screw,0.1984440700287733,0.1963063878633668,0.2239937359310839,0.4092026647728691,0.4305983717721773,0.4375731081132888,0.0981891348088531,0.168171500630517,0.4179364995490858,0.6557162715589772,0.1028850916612514
screw,0.1548091407362094,0.1523629594620057,0.1730443132072393,0.2565192865028694,0.2557663422781383,0.2520672474275696,0.0517520215633423,0.1081462799495586,0.4684326511223357,0.494581206938033,0.1331877980249128
nail,0.0306178280022191,0.0284205867817287,0.0306901776406978,0.072480237254648,0.0716262332956881,0.0703256480793892,0.0883116883116883,0.001967213114754,0.0672309202476349,0.8344869876290278,0.1030663823322137
plug,0.0689718965900692,0.0675504772415786,0.0701821694915468,0.2256441692252637,0.2360741285369764,0.2233799726452383,0.066031746031746,0.0797982345523329,0.1240784840363516,0.8855593933200966,0.0895297681697952
screw,0.1457966160446185,0.129526778651767,0.1317324908445527,0.3816288813132272,0.3621790251438787,0.3341886788128435,0.0366737739872068,0.1327112232030264,0.1461382358888281,0.8334708275467916,0.1649876900266333
nail,0.0594716693652924,0.0534929598506705,0.0563502329639839,0.1410597790304986,0.1355973566268732,0.1299160703474464,0.0814814814814814,0.0412105926860025,0.1735839059373904,0.6638667860805877,0.0629699526821098
